Top_VD_Item_Id,Parent_VD_Item_Id,Parent_PV_Code,Parent_PV_StartDate,Child_VD_Item_Id,Child_PV_Code,Child_PV_StartDate
122372,122375,145,01/01/2011,122376,1451,01/01/2011
122372,122375,145,01/01/2011,122376,1452,01/01/2011
122372,122375,145,01/01/2011,122376,1454,01/01/2011
122372,122375,151,01/01/2011,122376,1511,01/01/2011
122372,122375,151,01/01/2011,122376,1512,01/01/2011
122372,122375,151,01/01/2011,122376,1513,01/01/2011
122372,122375,152,01/01/2011,122376,1521,01/01/2011
122372,122375,152,01/01/2011,122376,1522,01/01/2011
122372,122375,152,01/01/2011,122376,1523,01/01/2011
122372,122375,152,01/01/2011,122376,1524,01/01/2011
122372,122375,152,01/01/2011,122376,1525,01/01/2011
122372,122375,152,01/01/2011,122376,1526,01/01/2011
122372,122375,211,01/01/2011,122376,2111,01/01/2011
122372,122375,211,01/01/2011,122376,2112,01/01/2011
122372,122375,211,01/01/2011,122376,2113,01/01/2011
122372,122375,211,01/01/2011,122376,2114,01/01/2011
122372,122375,211,01/01/2011,122376,2115,01/01/2011
122372,122375,212,01/01/2011,122376,2121,01/01/2011
122372,122375,212,01/01/2011,122376,2122,01/01/2011
122372,122375,212,01/01/2011,122376,2123,01/01/2011
122372,122375,213,01/01/2011,122376,2131,01/01/2011
122372,122375,213,01/01/2011,122376,2132,01/01/2011
122372,122375,213,01/01/2011,122376,2133,01/01/2011
122372,122375,213,01/01/2011,122376,2134,01/01/2011
122372,122375,214,01/01/2011,122376,2141,01/01/2011
122372,122375,214,01/01/2011,122376,2142,01/01/2011
122372,122375,214,01/01/2011,122376,2143,01/01/2011
122372,122375,214,01/01/2011,122376,2144,01/01/2011
122372,122375,214,01/01/2011,122376,2145,01/01/2011
122372,122375,214,01/01/2011,122376,2146,01/01/2011
122372,122375,214,01/01/2011,122376,2147,01/01/2011
122372,122375,214,01/01/2011,122376,2148,01/01/2011
122372,122375,215,01/01/2011,122376,2151,01/01/2011
122372,122375,215,01/01/2011,122376,2152,01/01/2011
122372,122375,215,01/01/2011,122376,2153,01/01/2011
122372,122375,215,01/01/2011,122376,2154,01/01/2011
